username,rating,comment,time,product,sentiment
adidesign77,5,"kualitas suaratreble normal
kualitaskualitas sangat baik setelah jatuh beberapa kali
warnawarna hitamnya bagus

untuk bassnya enak terima telp sambil naik motor juga masih jelas suaranya kondisi helm tertutup
untuk harga yg terbilang cukup murah kualitas baik dan produk kuat",2024-06-06 06:34:38,tws,positive
7*****i,1,"warnahitam

parah yang jual kaga jujur baru beli barang di kasih ya barang yang udah rusak di coba ke bluetooth dan di cass kga bisa jga",2024-11-30 02:39:30,tws,negative
i*****1,5,"kualitas suarajernih dan full bass
warnabiru
kualitasmurah tapi tidak murahan ygy

real pick bjirrr ini mah aku rekomendasi buat lu semua yang mau pada beli beli aja jangan di taruh keranjang terus langsung co",2024-07-29 03:53:47,tws,positive
b*****4,5,"sepadan dengan hargaharga segitu udah termasuk bagus banget sih
fitur terbaikfitur banyakrada susah ngaturnya

tampilan modis dan eleganbaguskardus juga lumayan tahan",2023-12-10 12:58:40,tws,positive
s*****_,5,"kualitas suarasangat jernih dan bagus
warnasesuai dengan ekspektasi
kualitassangat baik

alhamdulillah paketnya sudah sampai sesuai dengan ekspektasi bassnya juga enak di telinga suaranya jernih semoga tahan lama yaaa terimakasih min",2024-10-04 11:07:26,tws,positive
sitimutawasitoh,5,"fitur terbaikextra baik
sepadan dengan hargasepadan kurang buku paduan aja but its okay

barang tiba dengan aman cuman 2 hari tapi kok 1 headset ada yg lampunya terus nyala tpi yg satunya nyala cuman ga tiap menit aja ini ada bukti foto yg 1 headset terus menyala lampunya  tapi gapapa asal ga rusak pokoknya tokonya amanah bngt sehat buat ownernya 
semoga awett",2023-12-12 11:04:31,tws,positive
indra_kurniawan97,3,"kualitas suaralumayan
warnabiru muda
kualitasbaik

untuk telponan udah bisa dengar video juga oke untuk musik cukup lh untuk orang gk begitu suka ngebass 
tpi indikator lampu untuk pengisian batrai belom ada jdi kalau ngisi batre harus ngira² sudah penuh atau belom",2024-11-11 05:02:33,tws,neutral
daini74akbar97,3,"kualitas suarange bass banget 
warnasesuai pesanan
kualitasmantap

entah aku yg belum tau cara pakainya atau kualitas bendanya emang gitu soalnya sesekali macetkoneksi terputus mungkin jaringan atau apa gituterus baterai headset bluetooth nya cepat terkuras tapi suaranya jernih dan ngebass bnget aku suka",2024-06-30 00:04:10,tws,neutral
raflirafli462,1,"fitur terbaikga tau baru di anbox
sepadan dengan hargakaga

apaan ini cuman sebelah niat jualan ga si",2024-01-25 11:15:03,tws,negative
revanovera,5,"sepadan dengan hargasepadan

suaranya okeee tampilannya juga bagusss dengan harga segini okee lahhh",2024-05-05 05:16:11,tws,positive
f*****s,5,"kualitas suarabass yang memuaskan
warnasesuai dengan ekspektasu
kualitasbagus banget

pertama kali beli earphone karena sebelumnya hilang trus nemu ini untuk harga segini ini worth it banget karena sebagus itu kualitasnya trus pengiriman hanya 2 hari",2024-10-04 08:14:49,tws,positive
d_i_n_a_,5,"kualitas suaramantap dan jernih
warnasesuai dengan ekspektasi dan menarik
kualitassangat memuaskan dan unggul

harga murah kualitas nggak murahan ok lah untk sehari hari trimakasih toko amanah pengirim ramah next beli disini lagi ah",2024-10-12 08:28:02,tws,positive
ulfiyanah123_,5,"kualitas suarasuaranya sangat jernih dan bagus
warnabagus dan menarik ubtuk semua umur
kualitasterlihat mewah dan tidsk murrahan padahal harga murah

bagus sesuai dengan foto yang tertera",2024-10-02 19:06:05,tws,positive
teukuironedy,5,"sepadan dengan hargaiyess
fitur terbaikok

murah meriah mantafffflahhhh tidak rugiiiiilahhh",2024-01-15 03:59:48,tws,positive
r*****y,1,"kualitas suarajernih
warnaputih
kualitastajam

terima kasih paket sudah sampe untung berfungsi dan suara jernih blm di chas bisa dipake
 pengemasan 2 hari",2024-08-30 15:45:52,tws,negative
nuranisasputri,5,"fitur terbaikbelom dicoba baru mau cas
sepadan dengan hargalumayan

pekingannya bagus cocok buat dibawa pas lagi nyantai gak tau bisa dipake android apa gak baru pertama beli semoga jadi langganan",2024-01-20 07:30:22,tws,positive
frengki130_,5,"kualitasbagus
warnahitam

terimakasih barang nya sampai dengan aman pembungkusnya rapi tidak rusak pokok nya bagus sekali",2024-04-29 06:19:21,tws,positive
yoxel_m,4,"kualitas suaralumayan
warnablack
kualitaslumayan

kalau buat kegunaan ini mah udah bagus ya beda kalo soal gengsi 

udh pernah beli 3 bulan yg lalu dan masih bagus sampai sekarang",2024-09-15 03:08:02,tws,positive
x314chim,5,"sepadan dengan hargaok
fitur terbaikbluetooth dan colokan bukan usb type b

bagus pink bass nya kuat tapi voice nya agak mid ok nonetheless brother ga laki kalo takut pakai pink",2023-12-30 05:45:57,tws,positive
m*****8,5,"kualitas suaramantab suara jelas ada bassnya
warnaputih
kualitasok

proses pengiriman yg garcep
respon penjual ok
packing ok
kualitas lumayan dgn harga sgitu
ada ngebassnya 
tks gan
good job",2024-11-17 12:03:17,tws,positive
denmas_broto,1,"kualitas suarajelek
warnaputih
kualitasjelek banget 

gw revisi yaini barang gak bisa di cassssberarti cuma sekali pake buang dahmo ngapain lagi cbudh modar semualagian ya lu kok tega2 nya jual barang ky beginiapa lu kaga takut dosa klo duitnya gak seberapa bosstp dosanya lu bawa mati",2024-11-26 09:20:22,tws,negative
biom7t0k7n,5,"kualitas suarasuara bas mantap padett jernihh
warnawarna sesuai apa yang di pesan
kualitasgood quality

kualitas barang sangan baguss tidak mengecewakanharga murah kualitas ga murahan sellernya ramahh pelayanan kurirnya juga baik dan ramah sekali",2024-10-19 08:20:37,tws,positive
sadako_gore,5,"kualitas suarasangat jernih full bass mantap
warnahitam
kualitasreview jujur keren banget high quality

awalnya gak percaya bisa dapat 23rb pas barang datang buset benerab cakep produknya no basa basi wajib beli yg ini",2024-11-11 09:32:28,tws,positive
r*****t,5,"kualitas suaralumayan gak cempreng
warnasesuai perkiraan
kualitascukup

alhamdulillah pesanan saya sudah sampai di rumah barangnya sangat baik packing lumayan rapi untuk kualitas masih cukup dengan harga segitu oke sih",2024-11-18 07:16:50,tws,positive
rizal0822,5,"kualitas suarabagus banget suara nya kalo di ful kan folume nya kek getar badan gwe
warnasesuai dan bagus
kualitaskualitas mantaptapi agak bingung di sensor sentuh nya di mana",2024-11-25 11:59:53,tws,positive
ockwbxd39b,5,"kualitas suarabagus bgt gilak keduanya nyala
warnaputih
kualitasbagus bgt sesuai sama ekspektasi inimah

bagus bgt bgt bgt suka suka hrus beli si bass nya mntep prah",2024-11-29 01:34:58,tws,positive
khoirumnisa388,5,"kualitas suarajernih
warnaputih
kualitascukup keras dan jelas

pesanan udah sampai sesuai gambar dan worth it sih untuk harga segitu ga usah ragu untuk check out barangnya",2024-10-09 13:20:37,tws,positive
o*****4,5,"kualitas suarabass nya mantulkecil² cabe rawit
warnakeren sesuai pesanan
kualitasmurah tapi tidak murahan

asli keren bgt ni twsbiar murah jg tpi berkualitassuaranya ok bgt
trmksh sellershopee dan abng kurir",2024-08-23 10:28:16,tws,positive
callistafranda,5,"kualitas suaramanteppp
warnawarna pink
kualitaslumayan

dengan harga 26rb ini udh termasuk bagusss sih dapet kabel nya juga  pengemasan juga aman  warna nya tjakepp apalagi buat kaula muda yg pngen dngerin musik di jalan atau di jamkos  kerennnn pokoknya  rekomen banget buat beli lagi disini",2024-11-30 09:15:24,tws,positive
sofianhadeathmerch,5,"fitur terbaikberfungsi
sepadan dengan hargasangat murah

semua berfungsi baik untuk penggunaan harus di cas 12 jam on bisa bertahan lamaklo mati sebelah berarti baterai sudah lowbatt setelah di cas kembali berfungsi keduanya dan bertahan lama semoga bermanfaat",2023-12-23 10:29:20,tws,positive
d*****a,5,sesuai yg di harapkan bagus harga murah tapi kualitas  mantab tidak murahan sudah langsung d coba suara oke bas oke pkokx baguscara pakaix jg mudah,2024-11-21 12:59:56,tws,positive
a*****r,5,"kualitas suaralumayan bagus
warnasesuai
kualitasbagus

barang tiba dengan selamat suara bagus ada bassnya juga ok dan sesuai 
rekomen banget kl mau tws yg murah tp bagus",2024-11-19 19:41:47,tws,positive
thahiraqolbina729,4,"kualitas suaramantap dan jernih bgt
warnabaguss sesuai ekspetasi
kualitassangat baikk",2024-07-05 03:09:31,tws,positive
ewin_pratama,5,"kualitas suarabelum di coba
warnaoke sesuai
kualitassemoga bagus

paket sudah di terima dengan baik kak
barang dan warna sesuai yg di pesan 
semoga awet dan bagus kwalitas suaranya",2024-09-14 16:45:27,tws,positive
z*****s,5,"fitur terbaikoke berfungsi
sepadan dengan hargacukup

paket udah sampai sesuai deskripsi berfungsi semuanya namum ada yg salah kirim tidak seperti deskripsi yg dikirim nya

pesen jam tangan model tayo yang dikirim hello kitty

mohon utk lebih cermat lagi sebelum packing bilamana stok habis kabari aja pembelinya",2023-09-28 03:08:19,tws,positive
69usgnp581,5,"kualitas suaramengesankan
warnasesuai dengan ekspektasi
kualitasbarang bagus dan berkualitas

pesanan telah di terima dengan baik dan sesuai dengan pesananberfungsi dengan baik semoga awet pengiriman cepatmakasih",2024-12-02 12:15:31,tws,positive
awiektoad,4,"kualitas suarablm d coba
warnabagus
kualitasbelum tahu

terimakasih kakak seller sdh saya terima barangnya sesua orderan pengiriman cepat dan kurir ramah semoga bagus dan awet usaha kakak juga lancar",2024-12-18 22:34:45,tws,positive
j*****a,4,"kualitas suarangebass
warnakuning hitam
kualitasbagus

bagus bngett aslii ga nyesal beli 2 dapat harga murah dibawah 100 ga kaleng kaleng ini mah suaranya ngebass bnget bakal jadi toko langganan",2024-07-04 02:50:09,tws,positive
y*****b,5,barang mulus suara nya juga jernih walopun under 50 an tp termasuk bagus batrei kuat 23 jam lumayan buat dengerin musik sm youtube buat telponan pun suaranya jernih,2024-05-24 16:08:28,tws,positive
s*****p,5,"kualitas suarajernihhh
warnakokwet ih gemoy
kualitascukup puas

ini ada box putih gt tapi udah di buangg lucu poko nya mah im happy",2024-10-21 04:32:02,tws,positive
jason_iii,5,"kualitas suarabelum test
warnasesuai
kualitasbelum tast

pengiriman cepat dan sesuai pesanan thanks min dan bang kurir ",2024-09-05 11:13:47,tws,positive
jesikaclaudiasimatupang,5,"kualitas suarabagus
warnasesuai
kualitasmenurut ak 9610

bagus ini pengiriman juga cepet banget sabtu malam di checkout minggu sore jam 1845 udah nyampe di tangan aku harga sesuai juga",2024-12-08 11:46:57,tws,positive
najwasyafitri948,5,"kualitas suarabassnya kerenn pol
warnaputih sesuai
kualitasjernih

dijamin deh beli disini ga nyesell keren pol soalnya produk nya mantaflah rawrr i like",2024-09-21 05:59:08,tws,positive
yuhaslindajamalt8a,5,"fitur terbaiksangat memuaskan
sepadan dengan hargamurah karena diskon

headset sudah diterima pengantaran cepat barang bagus tidak cacat",2023-12-20 15:46:39,tws,positive
chaxstrgwmn,5,"sepadan dengan hargasepadan
fitur terbaikbagus

bagus tapi kadang yang satu ga berfungsitapi jangan khawatir nnti langsung berfungsi lagi",2023-11-29 05:42:24,tws,positive
z*****2,5,"kualitas suarasuaranya jelas dan jernih
warnaputih
kualitasbagus

bagus banget untuk harga segini suaranya jernih dan jelas",2024-09-02 09:15:29,tws,positive
m*****i,5,"fitur terbaikwarna hitam
sepadan dengan hargakacang

13 pro tws headset bluetooth bass 9d warna hitam
hifi stereo sound earphone wireless
waterproof headphone headset
kualitas ok",2024-03-09 11:39:19,tws,positive
p*****1,5,"fitur terbaikbelum tau kerena belim dicoba muda mudah beli ke2 nya tidak mengecewakan
sepadan dengan hargaiya",2023-12-03 13:27:29,tws,positive
adventrissiagian,5,"kualitas suarajernih dan jelas
warnaputih no lecet
kualitaskualitas bagus harga juga terjangkauu

makasih banyak seller dan kurir paket sampai dengan aman untuk tws nya udah bagus g ada kerusakan sama sekali dan suara nya bagus dan jernih

makasih seller ",2025-01-09 06:58:44,tws,positive
g*****3,5,"kualitas suarabaguss
warnasesuai
kualitasoke

bagus sii ga nyesel beli disini
ini pembelian ke 2",2024-07-23 01:35:09,tws,positive
skg8p5qmmp,5,"sepadan dengan hargasepadan dengan harga
fitur terbaiksuara bass lumayan

warna biru muda
barang dikirim sesuai pesanansuara bass lumayan bagus sesuai harga",2024-05-10 11:03:47,tws,positive
reg87,5,"kualitas suarasuara bass sangat nendang
warnahitam
kualitasbarang bagus semoga awet sampe nanti

cocok si buat di co mumpung masih promo suara bass nya kerasa banget

banyak in lagi min promo nya ",2024-09-11 11:10:35,tws,positive
firmanaditia316,5,"kualitas suarajernih dan bassnya mantul
warnahitam
kualitasbagus

barangnya bagus dan sesuai sama yang saya pesan
barang no lecetno rusaksuaranya jernih dan bagus
kualitas bagusharga terjangkau

pokoknya gak nyesel deh beli ini
harga murah kualitas no murahan
",2024-12-22 11:42:14,tws,positive
haurarafila181,5,"kualitas suarabaguss
warnasangat menarik

baguss banget saya suka sekali ",2024-08-11 23:57:13,tws,positive
agusprima161190,5,"kualitas suarabassnya mantul joss
warnasangat bagus hitamnya
kualitasaman

alhamdulillah pesanan saya sudah sampai dgn selamat sampai rumah headsetnya sangat bagus mewah suaranya jernih bassnya jg mantul joss terima kasih ka",2024-10-12 11:32:40,tws,positive
nmtl00,5,"fitur terbaikoke
sepadan dengan hargamurahhh

pengiriman cepat pesen kemaren hari ini langsung sampe walopun harganya murah suaranya oke juga cocok buat sehari minusnya batrenya cepet abis aja tapi okelah sesuai harga",2024-01-18 10:20:23,tws,positive
ediprasetyo630,5,"kualitas suarasesuai harga lumayan tp belum dicoba 
warnahitam
kualitassemoga sesuai harapan

belum dicoba karena masih dicas untuk lampu indikator pengecasan tidak ada  barang lumayan rekomendasi bgt",2024-11-20 06:19:37,tws,positive
anomgondronk,5,"kualitas suarasangat jelas dan terdengar
warnasangat menarik dan lucu
kualitasjernih dan detail

sangat puas sekali paketnya udah saya terima dengan baik dan sesuai deskripsi terimakasih shopee tokonya amanah tak lupa pula abang kurirnya juga",2024-11-21 05:44:31,tws,positive
nsgrande30,5,"kualitas suaraoke
warnabagus
kualitasmemuaskan

terima kasih seller pesanan sesuai dengan yang dipesan pengiriman nya juga sangat cepat untuk kualitas headset nya sangat bagus banget buat harga segitu",2024-07-22 13:15:49,tws,positive
sagatara_5,5,"kualitas suarabass bagus
warnawarna produk sesuai dengan yang di pesan
kualitassangat memuaskan

pengalaman punya model gini hampir 4 tahun sekarang beli lagi karena yang lama sudah rusak semoga bisa mewarisi yang lama overall semuanya oke tidak ada cacat atau problem kecil suaranya sangat oke menurut saya di banding produk lain yang pernah saya coba sangat puas belanja disini semoga tetap amanah",2024-08-26 11:09:19,tws,positive
izone.me48,5,"fitur terbaikbarang sesuai pesanan
sepadan dengan hargasemoga berfungsi dengan baik

semoga awet  ada harga ada rupa",2024-03-29 12:46:43,tws,positive
ariefuwibowo,5,"kualitas suarabesar dan keras
kualitasbagus  cukup baik

suara dihasilkan jelas ngebass trible cukup bagus g ngeprek  tp trasa kasar ya harga sgitu bagiku dah bagus aku kasih bintang 5 smoga awet ni barang thank seller",2024-11-29 09:01:16,tws,positive
zkfurniturejepara,5,"sepadan dengan hargabagus

sesuai pesanan fungsi pengiriman cepat kurir ramah",2023-10-29 08:01:33,tws,positive
herawati0822,5,"kualitasbagus tapi yang mau konek cuma satu kalau mau kenek satu lagi  headset denlah off bru bisa kesambung sama yang satunya
kualitas suarasura jernih
warnapink

kualitas suarasura jernih
warnapink
kualitasbagus tapi yang mau konek cuma satu kalau mau konek satu lagi  headset yang lagi konek harus  off dulu bru bisa kesambung sama yang headset sebelah nya",2024-07-27 08:14:19,tws,positive
a*****7,5,"kualitas suarakualitas bagus suaranya jg bagus ngebass
warnawarna bagus sesuai pesanan
kualitasharga murah sesuai yang dipesan bagus

maaf baru ngasih ulasan barang nya udah sampai lama bagus sesuai pesanan recomend bgt ini ",2024-11-24 01:19:17,tws,positive
alanapriyantop_1927,5,"kualitas suarajernih dan bagus
warnabiru muda dan hitam
kualitasmantap

paketnya mendarat dengan baik pesenannya sesuai dengan dideskripsi  dengan harga segitu dapat bassnya mantep pokoknya cocok lah
semoga batreainya awet tidak cepat habis",2024-11-10 02:13:50,tws,positive
shelawati1234,5,"fitur terbaikbaik kanan kiri nyala semua
sepadan dengan hargasepadancuma agak pusing gimana cara gunainnyasoalnya gak ada buku panduantapi oke lah suara bagus",2023-10-17 06:55:35,tws,positive
sitiastinurjalilah,5,"kualitas suarajernih bagus
warnalucu
kualitasbagus

alhamdulillah barangnya bagus sudah sampai sesuai tapi sayang banget lampunya ga keliatan lagi di cas jadi kita ga tahu penuh atau engganya tapi oke ko bassnya besar suaranya jernih",2024-12-06 08:55:19,tws,positive
faqiihfirgiawan,5,"kualitas suaramantap
warnaputih
kualitasbagus

mantap bosku dapet harga 11rb ini tws harga seblak tapi suaranya pulen sekelas harga 100rban auto beli lagi ini mah",2024-12-28 08:22:10,tws,positive
whossdam,5,"kualitas suarabagusss suara jelas bgt
warnabersih putih
kualitasthe best

suaranya kedengeran kenceng terus juga jelas sihhh beneran worth bgt guys",2024-11-15 11:47:30,tws,positive
7l_ii07o0g,5,"kualitas suarabagus ngebas
warnapitih
kualitasmantap bukan main

wah gila pokony gua kira harga murah kualitas gak bagus teryata bagus banget bass ny mantap gak nyesel deh pokony loh cek out gak akan rugi",2024-10-28 13:41:15,tws,positive
rdevia,5,"fitur terbaikbagus
sepadan dengan hargabagus

sepadan dengan harga
warna butter yellow ok
pengemasan kurleb 4 hari",2023-12-22 09:15:44,tws,positive
d*****0,5,"sepadan dengan harga60
fitur terbaiknge bass

ya bener si nge bass sesuai harga baru order pertama semoga awet lah ya lumayan kalau buat ngedengerin lagu lagu musik",2024-02-06 13:48:57,tws,positive
farhanadha09,4,"kualitas suarabagus
warnaclassy
kualitasterbaik di harganya

kekurangannya kadang stabilitas suara kiri dan kanan kadang salah satu lebih besar tp bukan masalah besar karena masih berfungsi dengan baik",2024-09-20 22:06:57,tws,positive
agra84,5,"kualitas suarabagus
warnabagus
kualitasbagus

udah 2 beli di toko yang ini dengan warna yang samaa tapii samaa2 baguss ga ngecewainklo di beliin di jamin ga nyesel",2024-11-15 09:23:17,tws,positive
soni_07,5,"kualitas suarabaik
warnabaik
kualitasbaik

udah beli tiga hanya satu yang bagus full dua lagi hidup tapi lampu ndikatoor charger ngak hidup kalau kwalitas oke baget suaga ngebas mantap pokok nya untuk harga murah segini",2024-10-22 06:07:08,tws,positive
s*****n,5,"fitur terbaikcantik
sepadan dengan hargasesuai

tampilan ok tapi belum dicoba mudah mudahan bagus dan berfungsi dengan baik terimakasih seller",2024-05-07 05:31:58,tws,positive
bungajulianti320,5,"kualitas suarakeren bangett injj
warnasesuaiii
kualitassangatt bagus

ini bagus sih udh berkali beli disiniawettmakasii min barangnya baguskalo baca ini next order gamau ngasi gua bonus ni wkwkwk",2024-12-20 23:04:28,tws,positive
denismuharam,5,"kualitas suarasuaranya jernih bass nya mantul
warnawarna sesuai
kualitassangat bagus tidak kecewa

gak nyesel lah belanja di toko ini",2024-12-21 10:10:23,tws,positive
haura_aul,1,"fitur terbaik
sepadan dengan harga

gabisa connect ke bluetooth yah ngapainn  dusnya aja penyok penyok ",2024-01-05 16:16:23,tws,negative
bagusiti,5,"fitur terbaikbass nya ok
sepadan dengan hargakwalitas lebih dr harga 30an

berfungsi dgn baikheadsetnya lg dpake bassnya oklumayan tahan lama pengiriman cepat dan aman harga 30rb an tp ok bgt",2024-08-17 00:18:21,tws,positive
t*****a,1,"warnahitam

barang tidak memuaskanpenjelasan admin sama barang nya gak sesuaigak ada tombol klik kiri  kanan
kureeeenggg",2024-10-09 03:21:18,tws,negative
alkhoirism,5,"kualitas suarangebass bener lur
kualitasgak nyangka harga murah kualitas sebagus ini",2024-10-16 10:22:35,tws,positive
elasetiani650,2,"kualitas suaralumaya
warnasesuai pesanan
kualitastpi g nyala spikr sebelanya 1",2024-08-16 05:35:18,tws,negative
kuatyeto,5,"kualitas suarabesar dan jernih
warnawarna produk sesuai
kualitaskualitas bagus

recommended bahan oke dan tampilan bagus",2024-12-08 13:23:01,tws,positive
v*****u,5,"kualitas suarabagus
warnabagus
kualitasbagus

barangnya bagus banget ga nyesel belanja di toko ini pokoknya the best laa",2024-07-05 07:40:37,tws,positive
kartika07101983,5,"kualitas suarajernih
warnalucu
kualitasbaik

sudah dipakai suara jernih bentuknya simple warnanya cantik dan mudah untuk dikoneksi ke hp",2024-12-30 12:31:13,tws,positive
fatona11,5,"kualitas suarajernih
warnasesuai barang
kualitasbaik

suara nya bgus ngebass gak cempreng",2025-01-01 02:04:18,tws,positive
l*****6,4,"kualitas suarasuara nya oke banggeetttt
warnaclassic elegant
kualitasoke

suaranya bagus pàke volume yg kecil aja kedengaran jugaa sekali pegang gampang mati sii agak susah kalo lagi pake dua nya trs masu lepas salah satu malah mati buat harga segini
worth to buy sii",2024-09-14 23:17:18,tws,positive
gitapramesti__,4,"fitur terbaiksuara jernih
sepadan dengan hargasepadan banget

barang oke suara jernih lumayan nge bassworth it lah buat teman dengerin lagu2 sendiri",2024-01-22 11:18:40,tws,positive
buner_jose,5,"kualitas suaranyaman ditelinga
warnaputih
kualitassesuai harga

kondisi barang aman dan berfungsi sebagaimana mestinya",2024-11-09 03:09:40,tws,positive
k*****3,5,"kualitas suarabagus
warnacantik
kualitasjernih

harga murah tapi barang ga murahan warnanya juga soft cuma masih bingung sama cara penggunaan nya aja keseluruhan oke banget",2024-07-27 05:09:55,tws,positive
m*****8,5,"kualitas suaraok
warnasesuai
kualitasnih baru murah

biar harga sgitu tp mantap pruduknya
suara bass nya ok
pesanan datang besoknya
kondisi komplit
good job gan",2024-10-23 11:29:24,tws,positive
c*****u,5,"kualitas suaralumayan
warnahitam pekat
kualitaslumayan

untuk harga 30ribu kualitasnya lumayan suaranya memang kurang ngebass tapi yaaa worth it lah
baterainya juga lumayan lama casan berfungsi baik oke lah untuk harga segitu apalagi co saat live dapet voucher tambahan",2024-10-20 13:59:48,tws,positive
k*****6,5,"fitur terbaiksangat baik
sepadan dengan hargag sesuai dengan harga soalnya barangnya betulbetul mewah

sumpah sih dengan harga 30an itu murah banget g sebanding sm bagusnya barang",2023-10-22 07:36:14,tws,positive
laksanaguntur14,5,"fitur terbaikdengar musik

paket sudah di terima bagus sesuai harga pengiriman cepat seller baik recomend next order lg",2023-12-08 15:39:40,tws,positive
0n7iadln_p,5,"kualitas suarasuara yg lumayan mantap
warnawarna sesuai permintaan
kualitasbagus secara kualitas baik barang yg d pesenan atau pun pengemasan nya sangat rapi",2024-12-01 06:15:56,tws,positive
bostuyul04,5,"kualitas suarabagus
warnabagus
kualitasbaik

yang biru baik suaranya  cuma yang hitam lampu tidak nyala  tapi bisa di gunakan  oke lah harga segitu",2024-07-28 18:58:21,tws,positive
ratuwangi555,5,"kualitas suaramemuaskan
warnamenarik
kualitaskelihatan mahal

alhamdulillah paketnya tiba pada waktunya",2024-12-02 07:44:23,tws,positive
kyalaaxxya,5,"kualitas suarabagus dan jernih
warnamenarik
kualitaskeras dan jelas

paket sdh sampai dalam keadaan baik terima kasih",2024-10-04 09:28:41,tws,positive
