username,rating,comment,time,product
d_i_n_a_,5,"Kualitas Suara:mantap dan jernih
Warna:sesuai dengan ekspektasi dan menarik
Kualitas:sangat memuaskan dan unggul

Harga murah kualitas nggak murahan ok lah untk sehari hari, trimakasih 🙏toko amanah pengirim ramah next beli disini lagi ah",2024-10-12 08:28:02,tws
ulfiyanah123_,5,"Kualitas Suara:suaranya sangat jernih dan bagus
Warna:bagus dan menarik ubtuk semua umur
Kualitas:terlihat mewah dan tidsk murrahan padahal harga murah

Bagus sesuai dengan foto yang tertera",2024-10-02 19:06:05,tws
teukuironedy,5,"Sepadan dengan Harga:Iyess
Fitur Terbaik:ok

Murah meriah mantafffflahhhh tidak rugiiiiilahhh😬😂😀😂",2024-01-15 03:59:48,tws
r*****y,1,"Kualitas Suara:jernih
Warna:putih
Kualitas:tajam

Terima kasih paket sudah sampe. Untung berfungsi dan suara jernih. Blm di chas bisa dipake
 Pengemasan 2 hari.",2024-08-30 15:45:52,tws
nuranisasputri,5,"Fitur Terbaik:belom dicoba baru mau cas
Sepadan dengan Harga:lumayan

Pekingannya bagus, cocok buat dibawa pas lagi nyantai, gak tau bisa dipake android apa gak, baru pertama beli semoga jadi langganan",2024-01-20 07:30:22,tws
frengki130_,5,"Kualitas:Bagus
Warna:hitam

Terimakasih Barang nya sampai dengan aman, Pembungkusnya Rapi Tidak Rusak. Pokok nya Bagus Sekali",2024-04-29 06:19:21,tws
yoxel_m,4,"Kualitas Suara:lumayan
Warna:black
Kualitas:lumayan

Kalau buat kegunaan ini mah udah bagus ya. Beda kalo soal gengsi. 

Udh pernah beli 3 bulan yg lalu dan masih bagus sampai sekarang.",2024-09-15 03:08:02,tws
x314chim,5,"Sepadan dengan Harga:ok.
Fitur Terbaik:Bluetooth dan colokan bukan usb type B

Bagus, pink, bass nya kuat tapi voice nya agak mid. OK nonetheless. Brother ga laki kalo takut pakai pink!",2023-12-30 05:45:57,tws
m*****8,5,"Kualitas Suara:mantab, suara jelas, ada bassnya
Warna:putih.
Kualitas:ok

Proses pengiriman yg garcep.
Respon penjual ok.
Packing ok.
Kualitas lumayan dgn harga sgitu.
Ada ngebassnya 
Tks gan
.good job",2024-11-17 12:03:17,tws
denmas_broto,1,"Kualitas Suara:jelek
Warna:putih
Kualitas:jelek banget 

gw revisi ya...ini barang gak bisa di cassss...berarti cuma sekali pake buang dah...mo ngapain lagi cb..udh modar semua...lagian ya lu kok tega2 nya jual barang ky begini..apa lu kaga takut dosa??? klo duitnya gak seberapa boss..tp dosanya lu bawa mati..",2024-11-26 09:20:22,tws
biom7t0k7n,5,"Kualitas Suara:suara bas mantap padett jernihh,,
Warna:warna sesuai apa yang di pesan
Kualitas:good quality

Kualitas barang sangan baguss tidak mengecewakan,,harga murah kualitas ga murahan,, sellernya ramahh,,, pelayanan kurirnya juga baik dan ramah sekali",2024-10-19 08:20:37,tws
sadako_gore,5,"Kualitas Suara:sangat jernih, full bass, mantap
Warna:hitam
Kualitas:review jujur, keren banget, high quality

awalnya gak percaya bisa dapat 23rb. pas barang datang buset… benerab cakep produknya. no basa basi. wajib beli yg ini.",2024-11-11 09:32:28,tws
r*****t,5,"Kualitas Suara:lumayan gak cempreng
Warna:sesuai perkiraan
Kualitas:cukup

Alhamdulillah pesanan saya sudah sampai di rumah, barangnya sangat baik, packing lumayan rapi, untuk kualitas masih cukup dengan harga segitu, oke sih...",2024-11-18 07:16:50,tws
rizal0822,5,"Kualitas Suara:bagus banget suara nya kalo di ful kan folume nya kek getar badan gwe😂
Warna:sesuai dan bagus
Kualitas:kualitas mantap,tapi agak bingung di sensor sentuh nya di mana",2024-11-25 11:59:53,tws
ockwbxd39b,5,"Kualitas Suara:BAGUS BGT GILAK, keduanya nyala
Warna:putih
Kualitas:BAGUS BGT SESUAI SAMA EKSPEKTASI INIMAH

bagus bgt bgt bgt suka suka, hrus beli si, bass nya mntep prah",2024-11-29 01:34:58,tws
khoirumnisa388,5,"Kualitas Suara:jernih
Warna:putih
Kualitas:cukup keras dan jelas

Pesanan udah sampai,, sesuai gambar dan worth it sih untuk harga segitu ga usah ragu"" untuk check out barangnya",2024-10-09 13:20:37,tws
o*****4,5,"Kualitas Suara:bass nya mantul,kecil² cabe rawit
Warna:keren sesuai pesanan
Kualitas:murah tapi tidak murahan

Asli keren bgt ni tws...biar murah jg tpi berkualitas,suaranya ok bgt...
Trmksh seller,shopee dan abng kurir",2024-08-23 10:28:16,tws
callistafranda,5,"Kualitas Suara:manteppp
Warna:warna pink
Kualitas:lumayan

Dengan harga 26rb ini udh termasuk bagusss sih dapet kabel nya juga , pengemasan juga aman . Warna nya tjakepp apalagi buat kaula muda yg pngen dngerin musik di jalan atau di jamkos 😄 kerennnn pokoknya . Rekomen banget buat beli lagi disini",2024-11-30 09:15:24,tws
sofianhadeathmerch,5,"Fitur Terbaik:berfungsi
Sepadan dengan Harga:sangat murah

Semua berfungsi baik, untuk penggunaan harus di cas 1-2 jam on bisa bertahan lama👍klo mati sebelah berarti baterai sudah lowbatt setelah di cas kembali berfungsi keduanya dan bertahan lama.. semoga bermanfaat",2023-12-23 10:29:20,tws
d*****a,5,Sesuai yg di harapkan bagus harga murah tapi kualitas  mantab tidak murahan sudah langsung d coba suara oke bas oke pkokx bagus.cara pakaix jg mudah,2024-11-21 12:59:56,tws
a*****r,5,"Kualitas Suara:lumayan bagus
Warna:sesuai
Kualitas:bagus

Barang tiba dengan selamat suara bagus ada bass-nya juga ok, dan sesuai 
Rekomen banget kl mau tws yg murah tp bagus",2024-11-19 19:41:47,tws
thahiraqolbina729,4,"Kualitas Suara:mantap dan jernih bgt
Warna:baguss sesuai ekspetasi
Kualitas:sangat baikk",2024-07-05 03:09:31,tws
ewin_pratama,5,"Kualitas Suara:belum di coba
Warna:oke sesuai
Kualitas:semoga bagus

Paket sudah di terima dengan baik kak.
Barang dan warna sesuai yg di pesan 
Semoga awet, dan bagus kwalitas suaranya",2024-09-14 16:45:27,tws
z*****s,5,"Fitur Terbaik:oke berfungsi
Sepadan dengan Harga:cukup

Paket udah sampai, sesuai deskripsi, berfungsi semuanya, Namum ada yg salah kirim, tidak seperti deskripsi yg dikirim nya.

Pesen jam tangan model tayo, yang dikirim Hello Kitty.

Mohon utk lebih cermat lagi sebelum packing, bilamana stok habis, kabari aja pembelinya.",2023-09-28 03:08:19,tws
69usgnp581,5,"Kualitas Suara:mengesankan
Warna:sesuai dengan ekspektasi
Kualitas:barang bagus dan berkualitas

Pesanan telah di terima dengan baik dan sesuai dengan pesanan.berfungsi dengan baik semoga awet, pengiriman cepat.makasih",2024-12-02 12:15:31,tws
awiektoad,4,"Kualitas Suara:blm d coba
Warna:bagus
Kualitas:belum tahu

Terimakasih kakak seller sdh saya Terima barangnya sesua orderan, pengiriman cepat dan kurir ramah, semoga bagus dan awet, usaha kakak juga lancar....",2024-12-18 22:34:45,tws
j*****a,4,"Kualitas Suara:ngebass
Warna:kuning, hitam
Kualitas:bagus

Bagus bngett aslii, ga nyesal beli 2 dapat harga murah dibawah 100. Ga kaleng kaleng ini mah suaranya ngebass bnget. Bakal jadi toko langganan",2024-07-04 02:50:09,tws
y*****b,5,"barang mulus, suara nya juga jernih, walopun under 50 an tp termasuk bagus batrei kuat 2-3 jam lumayan buat dengerin musik sm youtube buat telponan pun suaranya jernih",2024-05-24 16:08:28,tws
s*****p,5,"Kualitas Suara:jernihhh
Warna:kokwet ih gemoy
Kualitas:cukup puas

ini ada box putih gt tapi udah di buangg.. lucu poko nya mah!!! i’m happy",2024-10-21 04:32:02,tws
jason_iii,5,"Kualitas Suara:belum test
Warna:sesuai
Kualitas:belum tast

Pengiriman cepat dan sesuai pesanan. Thanks min dan bang kurir 🙏🏻👍",2024-09-05 11:13:47,tws
jesikaclaudiasimatupang,5,"Kualitas Suara:bagus
Warna:sesuai
Kualitas:menurut ak 9,6/10

bagus ini, pengiriman juga cepet banget. Sabtu malam di checkout Minggu sore jam 18.45 udah nyampe di tangan aku, harga sesuai juga",2024-12-08 11:46:57,tws
najwasyafitri948,5,"Kualitas Suara:bassnya KERENN POL
Warna:(putih) sesuai
Kualitas:JERNIH

dijamin deh beli disini ga nyesell keren pol soalnya produk nya mantaflah RAWRR I like",2024-09-21 05:59:08,tws
yuhaslindajamalt8a,5,"Fitur Terbaik:sangat memuaskan
Sepadan dengan Harga:murah karena diskon

Headset sudah diterima, pengantaran cepat, barang bagus tidak cacat",2023-12-20 15:46:39,tws
chaxstrgwmn,5,"Sepadan dengan Harga:sepadan
Fitur Terbaik:bagus

bagus, tapi kadang yang satu ga berfungsi,tapi jangan khawatir nnti langsung berfungsi lagi,",2023-11-29 05:42:24,tws
z*****2,5,"Kualitas Suara:Suaranya jelas dan jernih.
Warna:Putih.
Kualitas:Bagus.

Bagus banget untuk harga segini, Suaranya jernih dan jelas.",2024-09-02 09:15:29,tws
m*****i,5,"Fitur Terbaik:warna hitam
Sepadan dengan Harga:kacang😁😁

13 pro TWS Headset bluetooth bass 9d, warna hitam
Hifi stereo sound earphone wireless,
Waterproof headphone headset,
Kualitas ok",2024-03-09 11:39:19,tws
p*****1,5,"Fitur Terbaik:belum tau kerena belim dicoba muda mudah beli ke2 nya tidak mengecewakan
Sepadan dengan Harga:iya",2023-12-03 13:27:29,tws
adventrissiagian,5,"Kualitas Suara:Jernih dan jelas
Warna:putih no lecet
Kualitas:kualitas bagus harga juga terjangkauu

MAKASIH banyak seller dan kurir paket sampai dengan aman, untuk TWS nya udah bagus g ada kerusakan sama sekali dan suara nya bagus dan jernih.

Makasih seller ✨️✨️",2025-01-09 06:58:44,tws
g*****3,5,"Kualitas Suara:baguss
Warna:sesuai
Kualitas:oke

bagus sii ga nyesel beli disini
ini pembelian ke 2",2024-07-23 01:35:09,tws
skg8p5qmmp,5,"Sepadan dengan Harga:sepadan dengan harga
Fitur Terbaik:suara bass lumayan

Warna biru muda
Barang dikirim sesuai pesanan.suara bass lumayan bagus sesuai harga.",2024-05-10 11:03:47,tws
reg87,5,"Kualitas Suara:suara bass sangat nendang
Warna:hitam
Kualitas:barang bagus semoga awet sampe nanti

Cocok si buat di co mumpung masih promo ,suara bass nya kerasa banget👍🏻👍🏻

Banyak in lagi min promo nya 😁",2024-09-11 11:10:35,tws
firmanaditia316,5,"Kualitas Suara:jernih dan bass-nya mantul
Warna:Hitam
Kualitas:bagus

Barangnya bagus dan sesuai sama yang saya pesan
Barang no lecet/no rusak,suaranya jernih dan bagus
Kualitas bagus,harga terjangkau

Pokoknya gak nyesel deh beli ini
Harga murah kualitas no murahan
🙏🙏",2024-12-22 11:42:14,tws
haurarafila181,5,"Kualitas Suara:baguss
Warna:sangat menarik

Baguss banget saya suka sekali 😍😘❤️",2024-08-11 23:57:13,tws
agusprima161190,5,"Kualitas Suara:Bassnya Mantul Joss
Warna:Sangat Bagus Hitamnya
Kualitas:Aman

Alhamdulillah Pesanan Saya Sudah Sampai Dgn Selamat Sampai Rumah, Headsetnya Sangat Bagus Mewah Suaranya Jernih Bassnya Jg Mantul Joss, Terima Kasih Ka",2024-10-12 11:32:40,tws
nmtl00,5,"Fitur Terbaik:oke
Sepadan dengan Harga:murahhh

Pengiriman cepat pesen kemaren hari ini langsung sampe walopun harganya murah suaranya oke juga cocok buat sehari” minusnya Batrenya cepet abis aja tapi okelah sesuai harga",2024-01-18 10:20:23,tws
ediprasetyo630,5,"Kualitas Suara:sesuai harga.. lumayan.. tp belum dicoba 😄
Warna:Hitam
Kualitas:semoga sesuai harapan😊

Belum dicoba karena masih dicas.. Untuk lampu indikator pengecasan tidak ada ... Barang lumayan.. Rekomendasi bgt",2024-11-20 06:19:37,tws
anomgondronk,5,"Kualitas Suara:sangat jelas dan Terdengar
Warna:sangat menarik dan lucu
Kualitas:jernih dan detail

Sangat puas sekali paketnya udah saya terima dengan baik dan sesuai deskripsi terimakasih Shopee tokonya amanah tak lupa pula abang kurirnya juga",2024-11-21 05:44:31,tws
nsgrande30,5,"Kualitas Suara:oke
Warna:bagus
Kualitas:memuaskan

Terima kasih seller pesanan sesuai dengan yang dipesan pengiriman nya juga sangat cepat untuk kualitas headset nya sangat bagus banget buat harga segitu",2024-07-22 13:15:49,tws
sagatara_5,5,"Kualitas Suara:bass bagus
Warna:warna produk sesuai dengan yang di pesan
Kualitas:sangat memuaskan

Pengalaman punya model gini hampir 4 tahun, sekarang beli lagi karena yang lama sudah rusak, semoga bisa mewarisi yang lama, overall semuanya oke tidak ada cacat atau problem kecil, suaranya sangat oke menurut saya di banding produk lain yang pernah saya coba, sangat puas belanja disini semoga tetap amanah.",2024-08-26 11:09:19,tws
izone.me48,5,"Fitur Terbaik:barang sesuai pesanan
Sepadan dengan Harga:semoga berfungsi dengan baik

Semoga awet , ada harga ada rupa",2024-03-29 12:46:43,tws
ariefuwibowo,5,"Kualitas Suara:besar dan keras
Kualitas:bagus & cukup baik

Suara dihasilkan jelas, ngebass, trible cukup bagus g ngeprek.  Tp trasa kasar. Ya harga sgitu bagiku dah bagus. Aku kasih bintang 5. Smoga awet ni barang. Thank seller",2024-11-29 09:01:16,tws
zkfurniturejepara,5,"Sepadan dengan Harga:bagus

sesuai pesanan fungsi pengiriman cepat kurir ramah.",2023-10-29 08:01:33,tws
herawati0822,5,"Kualitas:bagus tapi yang mau konek cuma satu kalau mau kenek satu lagi  headset denlah off Bru bisa kesambung sama yang satunya
Kualitas Suara:sura jernih
Warna:pink

Kualitas Suara:sura jernih
Warna:pink
Kualitas:bagus tapi yang mau konek cuma satu kalau mau konek satu lagi  headset yang lagi konek harus  off dulu Bru bisa kesambung sama yang headset sebelah nya",2024-07-27 08:14:19,tws
a*****7,5,"Kualitas Suara:kualitas bagus suaranya jg bagus ngebass
Warna:warna bagus sesuai pesanan
Kualitas:harga murah sesuai yang dipesan bagus

Maaf baru ngasih ulasan barang nya udah sampai lama bagus sesuai pesanan recomend bgt ini 👍👍",2024-11-24 01:19:17,tws
alanapriyantop_1927,5,"Kualitas Suara:Jernih dan bagus
Warna:Biru Muda dan Hitam
Kualitas:Mantap

Paketnya mendarat dengan baik pesenannya sesuai dengan dideskripsi , dengan harga segitu dapat bassnya mantep pokoknya cocok"" lah
Semoga batreainya awet tidak cepat habis",2024-11-10 02:13:50,tws
shelawati1234,5,"Fitur Terbaik:baik kanan kiri nyala semua
Sepadan dengan Harga:sepadan,,,cuma agak pusing gimana cara gunain'nya,,,soalnya gak ada buku panduan,,,tapi oke lah suara bagus",2023-10-17 06:55:35,tws
sitiastinurjalilah,5,"Kualitas Suara:jernih bagus
Warna:lucu
Kualitas:bagus

Alhamdulillah barangnya bagus sudah sampai sesuai tapi sayang banget lampunya ga keliatan lagi di cas jadi kita ga tahu penuh atau engganya tapi oke ko bassnya besar suaranya jernih",2024-12-06 08:55:19,tws
faqiihfirgiawan,5,"Kualitas Suara:mantap
Warna:putih
Kualitas:bagus

Mantap bosku dapet harga 11rb ini tws harga seblak tapi suaranya pulen sekelas harga 100rban auto beli lagi ini mah",2024-12-28 08:22:10,tws
whossdam,5,"Kualitas Suara:bagusss suara jelas bgt
Warna:bersih putih
Kualitas:the best

Suaranya kedengeran kenceng terus juga jelas sihhh, beneran worth bgt guys!",2024-11-15 11:47:30,tws
7l_ii07o0g,5,"Kualitas Suara:bagus ngebas
Warna:pitih
Kualitas:mantap bukan main

Wah gila pokony ,gua kira harga murah kualitas gak bagus teryata bagus banget bass ny mantap gak nyesel deh pokony (loh cek out gak akan rugi)",2024-10-28 13:41:15,tws
rdevia,5,"Fitur Terbaik:Bagus
Sepadan dengan Harga:Bagus

Sepadan dengan harga
Warna butter yellow ok
Pengemasan kurleb 4 hari",2023-12-22 09:15:44,tws
d*****0,5,"Sepadan dengan Harga:60
Fitur Terbaik:nge bass

Ya bener si nge bass. Sesuai harga. Baru order pertama. Semoga awet lah ya. Lumayan kalau buat ngedengerin lagu lagu musik",2024-02-06 13:48:57,tws
farhanadha09,4,"Kualitas Suara:bagus
Warna:classy
Kualitas:terbaik di harganya

Kekurangannya kadang stabilitas suara kiri dan kanan kadang salah satu lebih besar, tp bukan masalah besar, karena masih berfungsi dengan baik",2024-09-20 22:06:57,tws
agra84,5,"Kualitas Suara:bagus
Warna:bagus
Kualitas:bagus

udah 2× beli di toko yang ini dengan warna yang samaa tapii samaa2 baguss ga ngecewain,,klo di beliin di jamin ga nyesel",2024-11-15 09:23:17,tws
soni_07,5,"Kualitas Suara:baik
Warna:baik
Kualitas:baik

Udah beli tiga hanya satu yang bagus full dua lagi hidup tapi lampu ndikatoor charger ngak hidup, kalau kwalitas oke baget suaga ngebas mantap pokok nya untuk harga murah segini",2024-10-22 06:07:08,tws
s*****n,5,"Fitur Terbaik:cantik
Sepadan dengan Harga:sesuai

Tampilan ok, tapi belum dicoba. Mudah mudahan bagus dan berfungsi dengan baik. Terimakasih seller...",2024-05-07 05:31:58,tws
bungajulianti320,5,"Kualitas Suara:keren bangett injj
Warna:sesuaiii
Kualitas:sangatt bagus

ini bagus sih udh berkali' beli disini,awett,makasii min barangnya bagus,kalo baca ini next order gamau ngasi gua bonus ni wkwkwk",2024-12-20 23:04:28,tws
denismuharam,5,"Kualitas Suara:suaranya jernih.. bass nya mantul
Warna:warna sesuai
Kualitas:sangat bagus tidak kecewa

Gak nyesel lah belanja di toko ini",2024-12-21 10:10:23,tws
haura_aul,1,"Fitur Terbaik:-
Sepadan dengan Harga:-

gabisa connect ke bluetooth yah ngapainn :)))))) dusnya aja penyok penyok 😂😂",2024-01-05 16:16:23,tws
bagusiti,5,"Fitur Terbaik:bass nya ok
Sepadan dengan Harga:kwalitas lebih dr harga 30an

Berfungsi dgn baik,headsetnya lg dpake... Bassnya ok,lumayan tahan lama... Pengiriman cepat dan aman... Harga 30rb an tp ok bgt",2024-08-17 00:18:21,tws
t*****a,1,"Warna:hitam

barang tidak memuaskan,penjelasan admin sama barang nya gak sesuai,gak ada tombol klik kiri / kanan
KUREEEENGGG",2024-10-09 03:21:18,tws
alkhoirism,5,"Kualitas Suara:ngebass bener lur
Kualitas:gak nyangka harga murah kualitas sebagus ini",2024-10-16 10:22:35,tws
elasetiani650,2,"Kualitas Suara:lumaya
Warna:sesuai pesanan
Kualitas:TPI g nyala spikr sebelanya 1",2024-08-16 05:35:18,tws
kuatyeto,5,"Kualitas Suara:besar dan jernih
Warna:warna produk sesuai
Kualitas:kualitas bagus,

Recommended, bahan oke dan tampilan bagus.",2024-12-08 13:23:01,tws
v*****u,5,"Kualitas Suara:bagus
Warna:bagus
Kualitas:bagus

Barangnya bagus banget ga nyesel belanja di toko ini pokoknya the best laa",2024-07-05 07:40:37,tws
kartika07101983,5,"Kualitas Suara:jernih
Warna:lucu
Kualitas:baik

Sudah dipakai, suara jernih, bentuknya simple. Warnanya cantik dan mudah untuk dikoneksi ke hp",2024-12-30 12:31:13,tws
fatona11,5,"Kualitas Suara:jernih
Warna:sesuai barang
Kualitas:baik

Suara nya bgus ngebass gak cempreng",2025-01-01 02:04:18,tws
l*****6,4,"Kualitas Suara:suara nya oke banggeetttt
Warna:classic elegant
Kualitas:oke

suaranya bagus, pàke volume yg kecil aja kedengaran jugaa. sekali pegang gampang mati sii, agak susah kalo lagi pake dua"" nya trs masu lepas salah satu, malah mati. buat harga segini
worth to buy sii",2024-09-14 23:17:18,tws
